product name,price
SAMSUNG Galaxy S9 Smartphone (4GB RAM + 64GB ROM) ORIGINAL- IMPORTED,RM759.00
"Samsung Galaxy S9 Plus 128GB - Sunrise Gold! (Dual Aperture camera, AR Emoji and Bixby updates)","RM1,899.00"
Samsung Galaxy S9+ G965 64GB (Blue),"RM1,680.00"
Samsung Galaxy S9+ G965 64GB (Blue),"RM1,889.00"
SAMSUNG GALAXY S9 CORAL BLUE,"RM2,799.00"
(used) Samsung Galaxy S9+ (samsung import set),"RM1,120.00"
"SAMSUNG GALAXY S9 , 4+64GB Refurbish SET",RM770.00
SAMSUNG Galaxy S9 / S9 Plus (4 GB & 6GB RAM + 64GB ROM) ORIGINAL-IMPORTED,RM719.00
SAMSUNG GALAXY S9 MIDNIGHT BLACK,"RM2,799.00"
Samsung Galaxy S9 Plus 128gb/6gb Original Samsung Set,RM998.00
Samsung Galaxy S9 64GB 1 years Original Samsung Warranty,"RM1,588.00"
Samsung Galaxy S9 G960U Original LTE Android Cell Phone Octa Core 5.8 12MP 4GB RAM 64GB ROM NFC 3000mAh Snapdragon 845,"RM1,194.00"
Samsung Galaxy S9 Plus(6+64GB) Mobile Phone,"RM1,499.00"
Samsung Galaxy S9 PLUS / S9+ 6GB + 64GB Display Unit ( CLEARANCE SALE ),"RM1,290.00"
Samsung Galaxy S9 4GB + 64GB Display Unit ( CLEARANCE SALE ),RM990.00
(used) Samsung Galaxy S9 (samsung import set),RM945.00
SAMSUNG GALAXY S9 Black,"RM2,850.00"
Samsung Galaxy S9 64GB (ready stock)(warranty by samsung malaysia),"RM1,699.00"
Samsung Galaxy S9+ (64 / 128 / 256GB +6GB Ram) 2nd,RM940.00
Samsung Galaxy S9 Plus 64gb/6gb Original Samsung Set (Warranty by Samsung Malaysia),"RM2,299.00"
Samsung Galaxy S9 Plus Smartphone G965 [ 256GB ROM ] [Original Malaysia Set],"RM4,149.00"
SAMSUNG GALAXY S9 PLUS Smartphone [6GB RAM + 64GB ROM] ORIGINAL-IMPORTED,RM899.00
"SAMSUNG GALAXY S9+ , 6+128GB Refurbish SET","RM1,070.00"
"SAMSUNG GALAXY S9+ , 6+64GB Refurbish SET",RM960.00
SAMSUNG GALAXY S9 G960F 4+64GB Refurbish SET,RM820.00
"(READY STOCK)Samsung Galaxy S9 Dual Sim (4G, 4GB RAM, 64GB ROM, Sunrise Gold)","RM1,699.00"
SAMSUNG GALAXY S9 LILAC PURPLE,"RM2,799.00"
Unlocked For Samsung Galaxy S9 Plus S9+ G965U 64GB ROM 6GB RAM Mobile Phone Octa Core 6.2 Cell Phone,"RM1,178.00"
SAMSUNG GALAXY S9 PLUS,"RM1,080.00"
Unlocked For Samsung Galaxy S9 G960U 4G Android Mobile Phone 4G RAM 64G ROM Octa-core 5.8'' 12MP Fingerprint NFC Smartphone,"RM1,126.00"
Unlocked For Samsung Galaxy S9 G960U 4G Android Mobile Phone 4G RAM 64G ROM Octa-core 5.8'' 12MP Fingerprint NFC Smartphone,"RM1,095.00"
SAMSUNG Galaxy S9 Plus 64GB (G965)-USED SET,RM890.00
(ORIGINAL- IMPORTED) SAMSUNG GALAXY S9 PLUS Smartphone (G965) 6GB RAM+ 64GB ROM,RM899.00
SAMSUNG GALAXY S9+ PLUS 64GB LTE 3G WIFI FULL SET,"RM1,399.00"
SAMSUNG GALAXY S9 PLUS BLACK 64GB,"RM2,699.00"
Samsung Galaxy S9 G960 64GB (Lilac Purple),"RM3,299.00"
Samsung Galaxy S9 64GB 100% Original Samsung Warranty,"RM2,799.00"
Samsung Galaxy S9 PLUS 128GB,"RM2,998.00"
SAMSUNG GALAXY S9 64GB LTE 3G WIFI FULL SET,"RM1,150.00"
(ORIGINAL- IMPORTED) SAMSUNG GALAXY S9 PLUS Smartphone (G965) 6GB RAM+ 64GB ROM - CORAL BLUE,RM899.00
Samsung Galaxy S9 PLUS [6GB + 128GB] ORIGINAL Samsung Malaysia,"RM1,799.00"
Samsung Galaxy S9 Plus / G965F (6GB / 256GB) Original Malaysia Set,"RM2,999.00"
SAMSUNG GALAXY S9(4GB+64GB)WITH 1 YEAR WARRANTY(FOC ORIGINAL SILICON CASE WORTH RM83)-NEW DEMO SET,"RM2,599.00"
(ready stock)Original SAMSUNG GALAXY S9 4GB RAM+64 GB ROM DISPLAY UNIT NO BOX,"RM1,399.00"
